Type,Cost
pizza,80
pizza,125
pizza,35
pizza,58
pizza,110
pizza,140
pizza,97
pizza,50
pizza,65
pizza,79
pizza,35
pizza,85
pizza,120
baking,150
baking,40
baking,120
baking,75
baking,160
baking,60
baking,45
baking,100
baking,86
baking,87
baking,90
shoes,48
shoes,35
shoes,95
shoes,45
shoes,75
shoes,115
shoes,42
shoes,78
shoes,65
shoes,125
gifts,100
gifts,96
gifts,35
gifts,99
gifts,75
gifts,150
gifts,45
gifts,100
gifts,120
gifts,50
pets,25
pets,80
pets,30
pets,35
pets,30
pets,28
pets,20
pets,75
pets,48
pets,20
pets,50
pets,75
pets,55
pets,60
pets,85
pets,110
