Temp,Bikes
14.1,985
14.9,801
8.1,1349
8.2,1562
9.3,1600
8.4,1606
8.1,1510
6.8,959
5.7,822
6.2,1321
6.9,1263
7.1,1162
6.8,1406
6.6,1421
9.6,1248
9.5,1204
7.2,1000
8.9,683
12,1650
10.7,1927
7.3,1543
2.4,981
4,986
4,1416
9.2,1985
8.9,506
8,431
8.3,1167
8.1,1098
8.9,1096
7.4,1501
7.9,1360
10.7,1526
7.7,1550
8.7,1708
9.6,1005
11.7,1623
11.1,1712
9.1,1530
5.5,1605
5.9,1538
7.8,1746
9.1,1472
13,1589
17,1913
10.9,1815
13,2115
17.9,2475
21.4,2927
16.4,1635
11.7,1812
12.4,1107
7.5,1450
9.1,1917
12.1,1807
14.9,1461
11.6,1969
14.1,2402
16.7,1446
10.9,1851
13.7,2134
8.1,1685
10.7,1944
15.8,2077
15.4,605
10.7,1872
12,2133
12.1,1891
16,623
13,1977
13.5,2132
15.8,2417
13.3,2046
13,2056
15,2192
17,2744
22.1,3239
19.4,3117
13.6,2471
17.6,2077
18.1,2703
14.2,2121
11.7,1865
10.8,2210
10.9,2496
10.4,1693
10.8,2028
12.4,2425
12.3,1536
11,1685
12.3,2227
12.9,2252
15.5,3249
23.5,3115
17,1795
16,2808
17.9,3141
13.8,1471
14,2455
17.5,2895
